ID,Prediction
1,60.696280806714185
2,74.09739648252639
3,53.373487298602896
4,75.92944330326341
5,66.9930493158958
6,70.13393591328743
7,54.08357865941363
8,55.03735606199854
9,62.492760141415516
10,54.47469128640307
11,29.118770706617397
12,57.43660932802257
13,63.247386680734934
14,50.073972646477756
15,32.95952118733828
16,65.42412049849372
17,30.21780784589572
18,72.20043142914174
19,87.42508083211945
20,80.50359363141081
21,87.73735976912943
22,27.847186365272307
23,65.35595898414928
24,92.52721964218209
25,69.9378036333394
26,44.30265025779414
27,73.04134624911188
28,15.294657680974353
29,27.437220741383783
30,31.716940736254827
31,70.84083386534088
32,40.91334335587757
33,7.0330980376271555
34,25.086502953361048
35,20.28940929634075
36,74.28174478872388
37,80.04716199738044
38,79.9141257897182
39,60.23440627273747
40,91.09143970691426
41,45.529357754699845
42,62.02453289565784
43,78.43271934357817
44,34.34703438987668
45,67.12344102112692
46,55.01490522133426
47,40.213349686941086
48,27.49425279324234
49,26.21069862123582
50,60.430112472149816
51,20.06508799198673
52,76.28550246060172
53,15.969455806719623
54,46.73965761083963
55,31.14786316031882
56,84.33696711461366
57,73.06412334503095
58,76.01375324402014
59,21.05719987416731
60,67.52456462990914
61,60.54508520659924
62,75.20983580417136
63,45.88163612192858
64,60.56798252130352
65,19.77912846280526
66,32.10296821010897
67,29.114641987478706
68,14.709926998573764
69,80.13746993389302
70,76.54847646309142
71,76.75607874758558
72,78.06391832857966
73,5.984076561711788
74,18.937228071465114
75,76.90457325092908
76,73.01062579161157
77,48.528977452300836
78,60.81014521709862
79,59.448194225430996
80,28.525116309475123
81,59.755498392967695
82,70.90189250637025
83,84.68795016285813
84,41.51898198032859
85,30.805215330875484
86,77.26739057133754
87,16.18093783629513
88,46.393322528716254
89,23.9642355823529
90,74.38126525392548
91,24.777407889418043
92,64.33610833516269
93,48.435291513770835
94,15.318216531971501
95,67.45831689378656
96,79.66088743473787
97,63.22516269944819
98,81.8236651999458
99,55.71421241969719
100,52.57335830950447
101,50.41210026459194
102,48.39183656486745
103,48.262276293765666
104,70.39246382586737
105,22.299054767250425
106,39.53585922258307
107,83.25458799629997
108,22.931190963499347
109,31.815764385414468
110,61.91299935505589
111,23.49814784801538
112,35.232772766434664
113,15.54380102430963
114,64.67841565933908
115,90.0021401904117
116,33.45959543282592
117,70.76097191759665
118,75.15488889177412
119,43.49773341213913
120,20.502219992841276
121,26.16124936113215
122,22.834144361764373
123,31.24985375548806
124,35.20550712398591
125,57.40827954432356
126,38.90237118940311
127,30.87451644890163
128,47.42854911299116
129,38.33107979781252
130,85.51068203440599
131,5.307301551308427
132,37.156057736972
133,19.95216549222684
134,21.1244017644903
135,26.393883247846674
136,11.920747060918927
137,80.9926756096419
138,75.31010537508467
